GenBank-Accn	Sequence-Length
JAKFHU010001523.1	212950
JAKFHU010001533.1	171632
JAKFHU010001535.1	487904
JAKFHU010001541.1	4656267
JAKFHU010001557.1	11628346
JAKFHU010001569.1	46359328
JAKFHU010001581.1	2352258
JAKFHU010001596.1	288518
JAKFHU010001599.1	6010672
JAKFHU010001604.1	137077
JAKFHU010001608.1	1491426
JAKFHU010001628.1	2958414
JAKFHU010001631.1	20898229
JAKFHU010001639.1	272700
JAKFHU010001640.1	11741600
JAKFHU010001657.1	19359105
JAKFHU010001658.1	102001
JAKFHU010001665.1	5807618
JAKFHU010001667.1	298544
JAKFHU010001670.1	25537412
JAKFHU010001672.1	25892308
JAKFHU010001682.1	114529
JAKFHU010001684.1	31942871
JAKFHU010001688.1	145382
JAKFHU010001693.1	2207874
JAKFHU010001698.1	327359
JAKFHU010001700.1	1290549
JAKFHU010001705.1	768294
JAKFHU010001707.1	800672
JAKFHU010001708.1	401132
JAKFHU010001710.1	156280
JAKFHU010001714.1	100746
JAKFHU010001716.1	2394800
JAKFHU010001725.1	1361106
JAKFHU010001730.1	142523
JAKFHU010001741.1	534246
JAKFHU010001747.1	2509499
JAKFHU010001752.1	166363
JAKFHU010001757.1	1224438
JAKFHU010001760.1	5262106
JAKFHU010001769.1	18626795
JAKFHU010001781.1	152382
JAKFHU010001783.1	359317
JAKFHU010001784.1	6965273
JAKFHU010001788.1	604931
JAKFHU010001789.1	209173
JAKFHU010001798.1	133081377
JAKFHU010001803.1	340801
JAKFHU010001805.1	1814722
JAKFHU010001808.1	789007
JAKFHU010001815.1	58889417
JAKFHU010001827.1	1080514
JAKFHU010001831.1	4052948
JAKFHU010001865.1	330531
JAKFHU010001870.1	1818358
JAKFHU010001908.1	1275405
JAKFHU010001930.1	1793944
JAKFHU010001936.1	102077
JAKFHU010001953.1	61433114
JAKFHU010001957.1	2231228
JAKFHU010001977.1	605975
JAKFHU010001978.1	16266499
JAKFHU010001990.1	31384267
JAKFHU010001995.1	1327214
JAKFHU010002004.1	14644201
JAKFHU010002019.1	315785
JAKFHU010002020.1	188295
JAKFHU010002026.1	115150
JAKFHU010002046.1	2492782
JAKFHU010002054.1	1764930
JAKFHU010002056.1	1674719
JAKFHU010002080.1	48084359
JAKFHU010002088.1	81742726
JAKFHU010002089.1	2004083
JAKFHU010002090.1	221230
JAKFHU010002118.1	542658
JAKFHU010002125.1	176651
JAKFHU010002128.1	115615
JAKFHU010002136.1	29465996
JAKFHU010002140.1	42079396
JAKFHU010002142.1	138752
JAKFHU010002143.1	5123333
JAKFHU010002157.1	217463
JAKFHU010002159.1	827037
JAKFHU010002162.1	104681
JAKFHU010002167.1	254021
JAKFHU010002169.1	3269565
JAKFHU010002177.1	410999
JAKFHU010002181.1	12131117
JAKFHU010002184.1	394361
JAKFHU010002186.1	145712
JAKFHU010002191.1	17806889
JAKFHU010002202.1	9193484
JAKFHU010002204.1	225304
JAKFHU010002205.1	2167680
JAKFHU010002206.1	2941124
JAKFHU010002216.1	1164217
JAKFHU010002219.1	232187
JAKFHU010002220.1	12984366
JAKFHU010002224.1	159370
JAKFHU010002237.1	324256
JAKFHU010002239.1	27954151
JAKFHU010002250.1	11650906
JAKFHU010002262.1	2241667
JAKFHU010002269.1	170393
JAKFHU010002285.1	103153
JAKFHU010002298.1	208905
JAKFHU010002302.1	305149
JAKFHU010002308.1	6403650
JAKFHU010002332.1	9471438
JAKFHU010002333.1	5191089
JAKFHU010002336.1	3672686
JAKFHU010002341.1	837005
JAKFHU010002347.1	383115
JAKFHU010002354.1	5522834
JAKFHU010002358.1	4098228
JAKFHU010002364.1	1263539
JAKFHU010002365.1	295974
JAKFHU010002371.1	864252
JAKFHU010002382.1	331641
JAKFHU010002384.1	632180
JAKFHU010002390.1	12631598
JAKFHU010002396.1	4668435
JAKFHU010002404.1	6926188
JAKFHU010002413.1	1805547
JAKFHU010002421.1	2281364
JAKFHU010002429.1	1033982
JAKFHU010002431.1	935765
JAKFHU010002438.1	222068
JAKFHU010002439.1	146416
JAKFHU010002449.1	4963784
JAKFHU010002460.1	130348
JAKFHU010002465.1	1761016
JAKFHU010002482.1	168260
JAKFHU010002497.1	1230502
JAKFHU010002502.1	579248
JAKFHU010002505.1	3633804
JAKFHU010002508.1	1693736
JAKFHU010002512.1	169206
JAKFHU010002514.1	153299
JAKFHU010002544.1	674740
JAKFHU010002549.1	4566022
JAKFHU010002553.1	11556778
JAKFHU010002568.1	385961
JAKFHU010002572.1	744004
JAKFHU010002573.1	28128748
JAKFHU010002578.1	114294
JAKFHU010002579.1	1532705
JAKFHU010002585.1	152702
JAKFHU010002590.1	107588
JAKFHU010002591.1	1867201
JAKFHU010002592.1	1262503
JAKFHU010002595.1	1857599
JAKFHU010002598.1	1422587
JAKFHU010002606.1	1379749
JAKFHU010002611.1	107646
JAKFHU010002619.1	1845953
JAKFHU010002624.1	123642
JAKFHU010002628.1	217674
JAKFHU010002652.1	9477102
JAKFHU010002658.1	23783116
JAKFHU010002666.1	179371
JAKFHU010002667.1	126641
JAKFHU010002670.1	5676638
JAKFHU010002686.1	177097
JAKFHU010002694.1	1264175
JAKFHU010002699.1	153545
